iteration: 1000, loss: 0.0189, scmap loss: 0.0165, locref loss: 0.0005, limb loss: 0.0019, lr: 0.0001
iteration: 2000, loss: 0.0116, scmap loss: 0.0112, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 3000, loss: 0.0108, scmap loss: 0.0104, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 4000, loss: 0.0103, scmap loss: 0.0100, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 5000, loss: 0.0098, scmap loss: 0.0095, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 6000, loss: 0.0090, scmap loss: 0.0088, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 7000, loss: 0.0089, scmap loss: 0.0086, locref loss: 0.0001, limb loss: 0.0002, lr: 0.0001
iteration: 8000, loss: 0.0083, scmap loss: 0.0081, locref loss: 0.0001, limb loss: 0.0002, lr: 5e-05
iteration: 9000, loss: 0.0078, scmap loss: 0.0076, locref loss: 0.0001, limb loss: 0.0001, lr: 5e-05
iteration: 10000, loss: 0.0074, scmap loss: 0.0072, locref loss: 0.0001, limb loss: 0.0001, lr: 5e-05
iteration: 11000, loss: 0.0071, scmap loss: 0.0070, locref loss: 0.0001, limb loss: 0.0001, lr: 5e-05
iteration: 12000, loss: 0.0070, scmap loss: 0.0068, locref loss: 0.0001, limb loss: 0.0001, lr: 5e-05
iteration: 13000, loss: 0.0062, scmap loss: 0.0060, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 14000, loss: 0.0063, scmap loss: 0.0061, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 15000, loss: 0.0062, scmap loss: 0.0061, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 16000, loss: 0.0061, scmap loss: 0.0059, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 17000, loss: 0.0057, scmap loss: 0.0056, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 18000, loss: 0.0060, scmap loss: 0.0058, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 19000, loss: 0.0062, scmap loss: 0.0060, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 20000, loss: 0.0057, scmap loss: 0.0056, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 21000, loss: 0.0058, scmap loss: 0.0056, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 22000, loss: 0.0059, scmap loss: 0.0058, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 23000, loss: 0.0055, scmap loss: 0.0054, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 24000, loss: 0.0056, scmap loss: 0.0055, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 25000, loss: 0.0056, scmap loss: 0.0055, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 26000, loss: 0.0058, scmap loss: 0.0056, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 27000, loss: 0.0054, scmap loss: 0.0052, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 28000, loss: 0.0055, scmap loss: 0.0053, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 29000, loss: 0.0057, scmap loss: 0.0055, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 30000, loss: 0.0055, scmap loss: 0.0053, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 31000, loss: 0.0053, scmap loss: 0.0052, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 32000, loss: 0.0054, scmap loss: 0.0052, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 33000, loss: 0.0053, scmap loss: 0.0052, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 34000, loss: 0.0051, scmap loss: 0.0050, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 35000, loss: 0.0051, scmap loss: 0.0049, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 36000, loss: 0.0052, scmap loss: 0.0051, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 37000, loss: 0.0049, scmap loss: 0.0047, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 38000, loss: 0.0051, scmap loss: 0.0050, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 39000, loss: 0.0052, scmap loss: 0.0050, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 40000, loss: 0.0052, scmap loss: 0.0051, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 41000, loss: 0.0050, scmap loss: 0.0049, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 42000, loss: 0.0050, scmap loss: 0.0049, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 43000, loss: 0.0048, scmap loss: 0.0047, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 44000, loss: 0.0050, scmap loss: 0.0048, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 45000, loss: 0.0051, scmap loss: 0.0049, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 46000, loss: 0.0049, scmap loss: 0.0048, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 47000, loss: 0.0049, scmap loss: 0.0047, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 48000, loss: 0.0048, scmap loss: 0.0047, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 49000, loss: 0.0049, scmap loss: 0.0048, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 50000, loss: 0.0050, scmap loss: 0.0049, locref loss: 0.0001, limb loss: 0.0001, lr: 1e-05
iteration: 51000, loss: 0.0048, scmap loss: 0.0047, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 52000, loss: 0.0047, scmap loss: 0.0046, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 53000, loss: 0.0048, scmap loss: 0.0046, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 54000, loss: 0.0046, scmap loss: 0.0044, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 55000, loss: 0.0048, scmap loss: 0.0047, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 56000, loss: 0.0048, scmap loss: 0.0047, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 57000, loss: 0.0046, scmap loss: 0.0044, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 58000, loss: 0.0046, scmap loss: 0.0045, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 59000, loss: 0.0046, scmap loss: 0.0044, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 60000, loss: 0.0047, scmap loss: 0.0045, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 61000, loss: 0.0045, scmap loss: 0.0044, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 62000, loss: 0.0046, scmap loss: 0.0044, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 63000, loss: 0.0045, scmap loss: 0.0044, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 64000, loss: 0.0044, scmap loss: 0.0042, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 65000, loss: 0.0046, scmap loss: 0.0044, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 66000, loss: 0.0043, scmap loss: 0.0041, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 67000, loss: 0.0044, scmap loss: 0.0043, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 68000, loss: 0.0046, scmap loss: 0.0045, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 69000, loss: 0.0043, scmap loss: 0.0042, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 70000, loss: 0.0046, scmap loss: 0.0045, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 71000, loss: 0.0044, scmap loss: 0.0043, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 72000, loss: 0.0043, scmap loss: 0.0042, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 73000, loss: 0.0043, scmap loss: 0.0042, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 74000, loss: 0.0042, scmap loss: 0.0041, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 75000, loss: 0.0042, scmap loss: 0.0041, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 76000, loss: 0.0043, scmap loss: 0.0042, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 77000, loss: 0.0043, scmap loss: 0.0042, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 78000, loss: 0.0042, scmap loss: 0.0041, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 79000, loss: 0.0044, scmap loss: 0.0043, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 80000, loss: 0.0041, scmap loss: 0.0040, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 81000, loss: 0.0042, scmap loss: 0.0041, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 82000, loss: 0.0041, scmap loss: 0.0040, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 83000, loss: 0.0041, scmap loss: 0.0040, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 84000, loss: 0.0042, scmap loss: 0.0040, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 85000, loss: 0.0042, scmap loss: 0.0040, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 86000, loss: 0.0041, scmap loss: 0.0040, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 87000, loss: 0.0044, scmap loss: 0.0043, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 88000, loss: 0.0040, scmap loss: 0.0039, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 89000, loss: 0.0040, scmap loss: 0.0039, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 90000, loss: 0.0040, scmap loss: 0.0038, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 91000, loss: 0.0042, scmap loss: 0.0041, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 92000, loss: 0.0039, scmap loss: 0.0038, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 93000, loss: 0.0041, scmap loss: 0.0040, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 94000, loss: 0.0039, scmap loss: 0.0038, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 95000, loss: 0.0041, scmap loss: 0.0040, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 96000, loss: 0.0040, scmap loss: 0.0039, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 97000, loss: 0.0040, scmap loss: 0.0039, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 98000, loss: 0.0040, scmap loss: 0.0039, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 99000, loss: 0.0038, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 100000, loss: 0.0039, scmap loss: 0.0038, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 101000, loss: 0.0040, scmap loss: 0.0039, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 102000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 103000, loss: 0.0039, scmap loss: 0.0038, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 104000, loss: 0.0038, scmap loss: 0.0037, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 105000, loss: 0.0038, scmap loss: 0.0037, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 106000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 107000, loss: 0.0038, scmap loss: 0.0037, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 108000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 109000, loss: 0.0038, scmap loss: 0.0037, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 110000, loss: 0.0041, scmap loss: 0.0040, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 111000, loss: 0.0040, scmap loss: 0.0038, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 112000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 113000, loss: 0.0038, scmap loss: 0.0037, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 114000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 115000, loss: 0.0038, scmap loss: 0.0037, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 116000, loss: 0.0038, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 117000, loss: 0.0039, scmap loss: 0.0038, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 118000, loss: 0.0038, scmap loss: 0.0037, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 119000, loss: 0.0038, scmap loss: 0.0037, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 120000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 121000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 122000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 123000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 124000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 125000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 126000, loss: 0.0036, scmap loss: 0.0035, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 127000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 128000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 129000, loss: 0.0037, scmap loss: 0.0035, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 130000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 131000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 132000, loss: 0.0037, scmap loss: 0.0036, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 133000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 134000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 135000, loss: 0.0036, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 136000, loss: 0.0034, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 137000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 138000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 139000, loss: 0.0036, scmap loss: 0.0035, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 140000, loss: 0.0036, scmap loss: 0.0035, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 141000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 142000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 143000, loss: 0.0036, scmap loss: 0.0035, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 144000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 145000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 146000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 147000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 148000, loss: 0.0036, scmap loss: 0.0035, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 149000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 150000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 151000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 152000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 153000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 154000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 155000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 156000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 157000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 158000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 159000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 160000, loss: 0.0035, scmap loss: 0.0034, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 161000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 162000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 163000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 164000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 165000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 166000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 167000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 168000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 169000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 170000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 171000, loss: 0.0034, scmap loss: 0.0033, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 172000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 173000, loss: 0.0031, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 174000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 175000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 176000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 177000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 178000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 179000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 180000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 181000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 182000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 183000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 184000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 185000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 186000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 187000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 188000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 189000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 190000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 191000, loss: 0.0030, scmap loss: 0.0029, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 192000, loss: 0.0032, scmap loss: 0.0031, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 193000, loss: 0.0033, scmap loss: 0.0032, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 194000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 195000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 196000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 197000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 198000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 199000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
iteration: 200000, loss: 0.0031, scmap loss: 0.0030, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
